timestamp,lat,lon,alt_m,speed_kmh,course_deg,hdop,sats
2025-09-18T14:13:05Z,48.779746,2.044075,129.9,9.85,36.4,5.05,3
2025-09-18T14:13:06Z,48.779710,2.044007,128.3,3.89,36.4,5.05,3
2025-09-18T14:13:08Z,48.779718,2.044021,125.1,4.32,36.4,5.05,3
2025-09-18T14:13:09Z,48.779707,2.043998,127.9,2.02,36.4,5.04,3
2025-09-18T14:13:10Z,48.779722,2.044010,129.7,2.72,36.4,5.04,3
2025-09-18T14:13:11Z,48.779722,2.044010,129.7,2.72,36.4,99.99,0
2025-09-18T14:17:33Z,48.779696,2.044088,129.3,2.30,36.4,4.69,3
2025-09-18T14:17:34Z,48.779691,2.044093,128.0,2.70,36.4,4.69,3
2025-09-18T14:17:35Z,48.779699,2.044100,128.8,2.07,36.4,4.69,3
2025-09-18T14:17:47Z,48.779689,2.044105,127.4,2.33,36.4,4.67,3
2025-09-18T14:17:48Z,48.779689,2.044093,127.0,3.56,36.4,4.67,3
2025-09-18T14:17:49Z,48.779686,2.044087,126.9,3.17,36.4,4.67,3
2025-09-18T14:17:50Z,48.779685,2.044080,126.5,3.30,36.4,4.67,3
2025-09-18T14:17:51Z,48.779685,2.044080,126.5,3.30,36.4,32.32,4
2025-09-18T14:18:05Z,48.779516,2.044211,179.7,2.41,42.0,2.57,6
2025-09-18T14:18:07Z,48.779534,2.044230,176.4,2.13,41.5,2.57,6
2025-09-18T14:18:16Z,48.779562,2.044209,164.0,2.31,290.2,2.56,6
2025-09-18T14:18:18Z,48.779563,2.044213,164.5,2.19,352.4,2.56,6
2025-09-18T14:19:20Z,48.779588,2.044195,161.9,5.32,265.5,0.99,9
2025-09-18T14:19:21Z,48.779588,2.044154,161.8,13.26,272.4,0.99,9
2025-09-18T14:19:22Z,48.779595,2.044105,162.1,13.32,280.6,1.20,8
2025-09-18T14:19:23Z,48.779622,2.044049,162.2,20.95,304.9,1.31,8
2025-09-18T14:19:24Z,48.779668,2.043985,162.3,26.71,318.2,1.31,8
2025-09-18T14:19:25Z,48.779725,2.043921,162.4,29.09,324.8,1.31,7
2025-09-18T14:19:26Z,48.779784,2.043858,162.3,28.67,324.7,1.72,7
2025-09-18T14:19:27Z,48.779841,2.043791,162.5,28.67,322.0,1.72,7
2025-09-18T14:19:28Z,48.779892,2.043724,162.6,26.28,318.0,1.71,7
2025-09-18T14:19:29Z,48.779928,2.043661,162.5,20.02,311.0,1.31,9
